,材料,试批号,实验屈服值,实验抗拉值,实验伸长率,牌号,钢种,出炉温度,加热时间,板坯厚度,中间坯厚度,粗轧压下率,精轧开轧温度,终轧温度,成品厚度,粗轧压缩比,精轧压缩比,C,Si,Mn,AlT,Nb,V,Ti,Ni,Cu,Cr,Mo,P,S,Ceq,Pcm,温度差
69,1211L44600,1LL012161400,287,427,32.5,SS400,ZA4D6100,1168,11620,264,100,0.189,893,839,35.7,2.64,2.801,0.16,0.2,0.35,0.031,0,0,0.003,0.02,0.03,0.03,0.01,0.011,0.003,0.229666667,0.548833333,54
70,1211L47600,1LL012161500,297,433,33,SS400,ZA4D6100,1163,11855,264,95,0.209,893,831,35.7,2.779,2.661,0.16,0.2,0.35,0.031,0,0,0.003,0.02,0.03,0.03,0.01,0.011,0.003,0.229666667,0.548833333,62
71,1211L51600,1LL012161600,305,439,31.5,SS400,ZA4D6100,1161,11456,264,95,0.208,893,831,35.7,2.779,2.661,0.16,0.2,0.35,0.031,0,0,0.003,0.02,0.03,0.03,0.01,0.011,0.003,0.229666667,0.548833333,62
72,1211L55600,1LL012161700,304,433,31.5,SS400,ZA4D6100,1168,11816,264,100,0.189,897,841,35.7,2.64,2.801,0.16,0.2,0.35,0.031,0,0,0.003,0.02,0.03,0.03,0.01,0.011,0.003,0.229666667,0.548833333,56
73,1211L76200,1LL012162200,306,450,24,SS400,ZA4D7100,1174,12270,264,110,0.151,887,847,54.7,2.4,2.011,0.16,0.14,0.61,0.035,0.001,0,0.002,0.02,0.03,0.04,0.01,0.027,0.0054,0.275,0.807333333,40
74,1211L85200,1LL012162300,293,445,24,SS400,ZA4D7100,1179,12134,264,110,0.157,886,844,54.7,2.4,2.011,0.16,0.14,0.61,0.035,0.001,0,0.002,0.02,0.03,0.04,0.01,0.027,0.0054,0.275,0.807333333,42
75,1215N58800,1LL012165000,384,468,26,SS400,DA4B8200,1214,15414,264,74,0.217,1058,821,9.45,3.568,7.831,0.17,0.16,0.37,0.035,0,0,0.004,0.02,0.03,0.04,0,0.021,0.0048,0.243,0.577333333,237
76,1215N61800,1LL012165100,367,474,24,SS400,DA4B8200,1215,15386,264,73.99,0.215,1077,826,9.45,3.568,7.83,0.17,0.16,0.37,0.035,0,0,0.004,0.02,0.03,0.04,0,0.021,0.0048,0.243,0.577333333,251
77,1215N64800,1LL012165200,371,469,27,SS400,DA4B8200,1225,13998,264,74,0.215,1111,833,9.45,3.568,7.831,0.17,0.16,0.37,0.035,0,0,0.004,0.02,0.03,0.04,0,0.021,0.0048,0.243,0.577333333,278
78,1215N69800,1LL012165800,349,457,27.5,SS400,DA4B8200,1221,13859,264,74,0.215,1107,820,9.45,3.568,7.831,0.18,0.2,0.36,0.033,0,0,0.004,0.02,0.03,0.02,0.01,0.017,0.0053,0.249333333,0.578333333,287
79,1215N72800,1LL012165900,352,460,27,SS400,DA4B8200,1225,13736,264,74,0.215,1108,825,9.45,3.568,7.831,0.18,0.2,0.36,0.033,0,0,0.004,0.02,0.03,0.02,0.01,0.017,0.0053,0.249333333,0.578333333,283
80,1211L59600,1LL012166800,293,437,31.5,SS400,YY000000,1167,11926,264,100,0.191,897,846,35.7,2.64,2.801,0.16,0.17,0.34,0.03,0,0,0.002,0.02,0.03,0.04,0.01,0.025,0.0058,0.23,0.538333333,51
