,材料,试批号,实验屈服值,实验抗拉值,实验伸长率,牌号,钢种,出炉温度,加热时间,板坯厚度,中间坯厚度,粗轧压下率,精轧开轧温度,终轧温度,成品厚度,粗轧压缩比,精轧压缩比,C,Si,Mn,AlT,Nb,V,Ti,Ni,Cu,Cr,Mo,P,S,Ceq,Pcm,温度差
413,1328P93400,1LL026056900,350,446,35,AB/A,ZF4H6100,1181,11889,264,70.99,0.265,913,818,25.2,3.719,2.817,0.16,0.1,0.53,0.029,0.001,0,0.001,0.04,0.03,0.03,0.01,0.013,0.0033,0.261,0.7255,95
414,1328P98400,1LL026057000,318,437,37,AB/A,ZF4H6100,1221,12268,264,60,0.316,1017,831,14.2,4.4,4.225,0.16,0.1,0.53,0.029,0.001,0,0.001,0.04,0.03,0.03,0.01,0.013,0.0033,0.261,0.7255,186
415,1325L70200,1LL026091100,336,443,41,AB/A,EF4G5100,1149.5,14267,222,65,0.338,968,840,12.89,3.415,5.043,0.1,0.13,0.8,0.029,0.011,0,0.001,0.01,0.03,0.05,0,0.019,0.0022,0.246,0.936833333,128
416,1325L72300,1LL026091200,355,444,32.5,AB/A,EF4G5100,1193,14117,222,65,0.32,938,839,18.2,3.415,3.571,0.1,0.13,0.8,0.029,0.011,0,0.001,0.01,0.03,0.05,0,0.019,0.0022,0.246,0.936833333,99
417,1328P21400,1LL026106700,347,440,37,AB/A,ZF4H6100,1213,14209,264,70,0.267,1013,855,16.7,3.771,4.192,0.15,0.13,0.55,0.033,0.002,0,0.002,0.02,0.03,0.04,0.01,0.018,0.004,0.255,0.737,158
418,1328P27300,1LL026106800,326,438,40.5,AB/A,ZF4H6100,1209,14175,264,70,0.291,1016,835,12.2,3.771,5.738,0.15,0.13,0.55,0.033,0.002,0,0.002,0.02,0.03,0.04,0.01,0.018,0.004,0.255,0.737,181
419,1325L19220,1LL026211100,306,416,50.5,AB/A,EF4G7300,1216,13621,222,70,0.306,1086,866,8.2,3.171,8.537,0.09,0.19,0.81,0.025,0.001,0,0.003,0.02,0.02,0.04,0.01,0.014,0.0036,0.237666667,0.929,220
420,1325L19220,1LL026211200,292,405,37,AB/A,EF4G7300,1216,13621,222,70,0.306,1086,866,8.2,3.171,8.537,0.09,0.19,0.81,0.025,0.001,0,0.003,0.02,0.02,0.04,0.01,0.014,0.0036,0.237666667,0.929,220
421,1325L19320,1LL026211300,287,404,43,AB/A,EF4G7300,1216,13621,222,70,0.306,1086,866,8.2,3.171,8.537,0.09,0.19,0.81,0.025,0.001,0,0.003,0.02,0.02,0.04,0.01,0.014,0.0036,0.237666667,0.929,220
422,1326L20400,1LL026218400,452,536,33,AB/A,EF4G5100,1149.5,0,223.74,70,0.286,1021,836,11.39,3.771,4.459,0.1,0.16,0.83,0.032,0.012,0.001,0.002,0.02,0.03,0.05,0,0.018,0.0032,0.251866667,0.967933333,185
423,1326L20400,1LL026218400,455,542,33,AB/A,EF4G5100,1149.5,0,223.74,70,0.286,1021,836,11.39,3.771,4.459,0.1,0.16,0.83,0.032,0.012,0.001,0.002,0.02,0.03,0.05,0,0.018,0.0032,0.251866667,0.967933333,185
424,1326L20400,1LL026218400,469,542,26.5,AB/A,EF4G5100,1149.5,0,223.74,70,0.286,1021,836,11.39,3.771,4.459,0.1,0.16,0.83,0.032,0.012,0.001,0.002,0.02,0.03,0.05,0,0.018,0.0032,0.251866667,0.967933333,185
425,1326N61300,1LL026442400,321,447,36.5,AB/A,ZF4H6100,1195,11964,234,70,0.238,930,834,231.1,3.343,0.303,0.16,0.16,0.54,0.025,0.001,0,0.001,0.02,0.06,0.04,0.01,0.022,0.006,0.265333333,0.768,96
426,1328N78100,1LL026442800,337,461,29.5,AB/A,ZF4H6100,1201,12008,189,70,0.243,1026,829,12.2,2.7,5.738,0.16,0.16,0.54,0.032,0.002,0,0.002,0.01,0.03,0.02,0,0.016,0.0062,0.256666667,0.736333333,197
427,1328N79100,1LL026442900,327,451,42.5,AB/A,ZF4H6100,1197,11976,189,70,0.247,996,824,12.7,2.7,5.512,0.16,0.16,0.54,0.032,0.002,0,0.002,0.01,0.03,0.02,0,0.016,0.0062,0.256666667,0.736333333,172
428,1326N05320,1LL026941100,292,438,41.5,AB/A,ZF4H6100,1197,19254,264,60,0.326,986,843,14.2,4.4,4.225,0.16,0.11,0.53,0.035,0,0,0.001,0.02,0.03,0.05,0.01,0.018,0.0031,0.263666667,0.726833333,143
429,1326N87220,1LL026943300,291,437,41.5,AB/A,ZF4H6100,1149.5,0,152,70,0.109,1117,874,18.39,1.743,8.537,0.17,0.11,0.52,0.031,0,0,0.002,0.02,0.03,0.05,0.01,0.023,0.0039,0.272,0.726833333,243
430,1328P46A00,1LL026957600,359,458,31.5,AB/A,ZF4H6100,1206,14687,264,70,0.211,992,802,10.2,3.771,6.863,0.16,0.14,0.51,0.029,0.001,0,0.003,0.02,0.04,0.03,0,0.012,0.0043,0.255,0.716166667,190
431,1328P46A00,1LL026957700,398,476,31,AB/A,ZF4H6100,1206,14687,264,70,0.211,992,802,10.2,3.771,6.863,0.16,0.14,0.51,0.029,0.001,0,0.003,0.02,0.04,0.03,0,0.012,0.0043,0.255,0.716166667,190
432,1328P57800,1LL026958100,323,435,39,AB/A,ZF4H6100,1202,13533,264,69.99,0.212,1078,838,10.2,3.772,6.862,0.16,0.12,0.54,0.022,0.001,0,0.001,0.02,0.03,0.04,0,0.02,0.0084,0.261333333,0.736,240
433,1328P57800,1LL026958200,333,455,44,AB/A,ZF4H6100,1202,13533,264,69.99,0.212,1078,838,10.2,3.772,6.862,0.16,0.12,0.54,0.022,0.001,0,0.001,0.02,0.03,0.04,0,0.02,0.0084,0.261333333,0.736,240
434,1328P89300,1LL026958600,334,459,36,AB/A,ZF4H6100,1206,12094,264,60,0.365,975,816,14.2,4.4,4.225,0.17,0.09,0.54,0.026,0.001,0,0.002,0.02,0.02,0.04,0.01,0.028,0.0039,0.272666667,0.735666667,159
